Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,0,1,0,0.0,0,1,0,0.0,0
0.06,0,1,0,0.0,0,1,0,0.0,0
0.08,0,1,0,0.0,0,1,0,0.0,0
0.1,0,1,0,0.0,0,1,0,0.0,0
0.12,0,1,0,0.0,0,1,0,0.0,0
0.14,0,1,0,0.0,0,1,0,0.0,0
0.16,0,1,0,0.0,0,1,0,0.0,0
0.18,0,1,0,0.0,0,1,0,0.0,0
0.2,0,1,0,0.0,0,1,0,0.0,0
0.22,0,1,0,0.0,0,1,0,0.0,0
0.24,2,1,2,100.0,-3,0,3,150.0,0
0.26,5,1,3,150.0,-11,0,8,400.0,0
0.28,9,1,4,200.0,-20,0,9,450.0,0
0.3,13,1,4,200.0,-31,0,11,550.0,0
0.32,18,1,5,250.0,-43,0,12,600.0,0
0.34,24,1,6,300.0,-56,0,13,650.0,0
0.36,29,1,5,250.0,-71,0,15,750.0,0
0.38,36,1,7,350.0,-87,0,16,800.0,0
0.4,42,1,6,300.0,-103,0,16,800.0,0
0.42,49,1,7,350.0,-121,0,18,900.0,0
0.44,57,1,8,400.0,-139,0,18,900.0,0
0.46,64,1,7,350.0,-158,0,19,950.0,0
0.48,72,1,8,400.0,-178,0,20,1000.0,0
0.5,80,1,8,400.0,-198,0,20,1000.0,0
0.52,88,1,8,400.0,-219,0,21,1050.0,0
0.54,97,1,9,450.0,-241,0,22,1100.0,0
0.56,106,1,9,450.0,-263,0,22,1100.0,0
0.58,114,1,8,400.0,-286,0,23,1150.0,0
0.6,123,1,9,450.0,-310,0,24,1200.0,0
0.62,133,1,10,500.0,-333,0,23,1150.0,0
0.64,142,1,9,450.0,-358,0,25,1250.0,0
0.66,152,1,10,500.0,-383,0,25,1250.0,0
0.68,161,1,9,450.0,-408,0,25,1250.0,0
0.7,171,1,10,500.0,-434,0,26,1300.0,0
0.72,181,1,10,500.0,-460,0,26,1300.0,0
0.74,191,1,10,500.0,-486,0,26,1300.0,0
